bno,bname,bstart,bend,bregister
1,경기도시공사 설계VE 검토위원 후보자 모집결과 안내,2019-12-26,2019-12-31,2019-12-26
2,화성동탄(2) 택지(2단계) 소유권이전등기 서류교부 안내문,2019-12-26,2019-12-31,2019-12-26
3,"다산신도시 업무,근생용지 (2019.12.09일자 공고분) 개찰결과",2019-12-20,2020-01-31,2019-12-20
4,광교택지개발지구 주상복합용지(C6) 공급관련 유의사항 추가 안내,2019-12-16,2019-12-18,2019-12-16
5,광교택지개발지구 주상복합용지(C6) 공급공고,2019-12-05,2019-12-18,2019-12-05
6,"다산신도시 업무,근생용지 공급공고",2019-12-09,2019-12-31,2019-12-09
7,다산신도시 생활대책용지 재공급 공고,2019-12-03,2019-12-31,2019-12-03
8,경기융합타운내 주상복합용지(C6_융합10) 사전 공급일정 안내,2019-11-25,2019-11-29,2019-11-25
9,"다산신도시 업무,근생용지 사전공급 안내",2019-11-07,2019-12-31,2019-11-07
10,황해경제자유구역 평택 포승(BIX)지구 이주자택지 공급 공고,2019-11-07,2019-12-31,2019-11-07
11,고덕국제화계획지구(택지) 1단계 준공구역 「소유권이전등기」 안내,2019-10-28,2019-11-30,2019-10-28
12,"화성동탄(2) 점포겸용 단독주택용지 (재)공급공고(D20,D21)",2019-09-09,2019-10-31,2019-09-09
13,"화성동탄(2) 주거전용 단독주택용지 재공급공고(D28,D33,D34)",2019-09-09,2019-10-31,2019-09-09
14,"화성동탄(2) 근린생활시설용지 재공급공고(근생71,72.73.74.75)",2019-09-05,2019-09-30,2019-09-05
15,다산신도시 생활대책용지 조합원모집 조합현황 안내,2019-08-27,2019-09-30,2019-08-27
16,다산신도시 진건지구 생활대책용지 공급공고,2019-08-21,2019-12-31,2019-08-21
17,다산신도시 지금지구 생활대책용지 공급공고,2019-08-21,2019-12-31,2019-08-21
18,용인 기흥구갈3 택지개발지구 주차장용지 재공급 공고,2019-08-09,2019-08-23,2019-08-09
19,화성동탄(2) 근린생활시설용지 및 근린상업용지 공급공고,2019-08-09,2019-08-21,2019-08-09
20,"화성동탄(2) 수의계약 공고 수정사항 안내(도시지원시설용지, 근린상업용지)",2019-07-08,2019-12-31,2019-07-08
21,화성동탄(2)택지개발사업 2단계 면적정산 안내문,2019-07-08,2019-12-31,2019-07-08
22,고덕국제화계획지구 일반상업용지 공급 공고,2019-06-27,2019-07-11,2019-06-27
23,화성동탄(2) 종교시설용지(종18) 공급공고,2019-06-17,2019-07-01,2019-06-17
24,"다산신도시 지금지구 상업용지 개찰결과(""19.5.31.공고분)",2019-06-13,2019-06-30,2019-06-13
25,"화성동탄(2) 도시지원시설용지 수의계약 공고(지원65, 지원70-1)",2019-06-12,2019-12-31,2019-06-12
26,다산신도시 지금지구 상업용지 [경기도시공사 공고 제2019-0148호(2019.5.31) 공공급고분] 세부 위치도,2019-06-04,2019-06-30,2019-06-04
27,다산신도시 지금지구 상업용지 공급공고,2019-05-31,2019-06-13,2019-05-31
28,"화성동탄(2) 도시지원시설용지(지원65, 지원70-1) 재공급공고",2019-05-27,2019-06-10,2019-05-27
29,"화성동탄(2) 근린생활시설용지(근생71,72,73,75) 공급공고",2019-05-20,2019-06-04,2019-05-20
30,다산신도시(지금) 상업용지 사전공급안내,2019-05-14,2019-06-30,2019-05-14
31,다산신도시 종교용지 개찰 결과 (2019.4.26 공고분),2019-05-10,2019-12-31,2019-05-10
32,다산신도시 진건 및 지금지구 점포겸용 단독주택용지 개찰결과(2019. 4.18 공급공고분),2019-05-02,2019-12-31,2019-05-02
33,다산신도시 지금지구 종교용지 공급공고,2019-04-26,2019-12-31,2019-04-26
34,남양주 다산신도시 진건 및 지금지구 점포겸용 단독주택용지 공급공고,2019-04-18,2019-04-30,2019-04-18
35,"화성동탄(2) 도시지원시설용지(지원65, 지원70-1) 공급공고",2019-05-13,2019-05-13,2019-04-15
36,화성동탄(2) 점포겸용 단독주택 용지 공급 공고,2018-10-05,2018-12-31,2018-10-05
37,화성동탄(2) 주거전용 단독주택 용지 공급 공고,2018-10-18,2018-12-31,2018-10-18
38,화성동탄(2) 점포겸용 단독주택 용지 재공급 공고,2018-11-22,2018-12-31,2018-11-22
39,다산신도시(지금) 종교용지 사전 공급안내,2019-04-05,2019-04-30,2019-04-05
40,다산신도시(진건 및 지금지구) 점포겸용 단독주택용지 사전 공급안내,2019-04-02,2019-04-30,2019-04-02
41,화성동탄(2) 근린생활시설용지 수의계약 중단 안내,2019-02-25,2019-02-28,2019-02-25
42,화성동탄(2) 근린상업용지 수의계약 공고(2018.10.22) 수정사항 안내,2019-02-22,2019-02-28,2019-02-25
43,화성동탄(2) 근린생활시설용지 수의계약 안내,2019-02-25,2019-02-28,2019-02-20
44,화성동탄(2) 유통업무설비용지 공급공고(유통3),2019-01-28,2019-02-18,2019-01-28
45,"화성동탄(2) 근린생활시설용지 재공급공고(근생66, 근생67)",2019-01-24,2019-12-31,2019-01-24
46,(정정공고)고덕국제화계획지구 대토보상(조성)토지 재공급공고,2019-01-09,2019-01-31,2019-01-09
47,고덕국제화계획지구 대토보상(조성)토지 재공급공고,2019-01-09,2019-01-31,2019-01-09
48,다산신도시 1단계 준공구역 소유권이전등기 안내,2019-01-07,2019-02-28,2019-01-07
49,(취소공고)화성동탄(2) 유통업무설비용지(유통3) 공급공고,2019-01-07,2019-03-31,2019-01-07
50,(정정공고)용인 기흥구갈3 택지개발지구 주차장용지 수의계약 공고,2018-12-07,2018-12-31,2018-12-07
51,용인 기흥구갈3 택지개발지구 주차장용지 수의계약 공고,2018-12-06,2018-12-31,2018-12-06
52,화성동탄(2) 유치원용지(유15) 공급공고,2018-11-30,2018-12-31,2018-11-30
