no,month,area,year,price,loc
0,1,dummy,2020,0,dummy
1,1,전체,2020,8121,서울
2,1,전용면적 60㎡이하,2020,8330,서울
3,1,전용면적 60㎡초과 85㎡이하,2020,8135,서울
4,1,전용면적 85㎡초과 102㎡이하,2020,12728,서울
5,1,전용면적 102㎡초과,2020,8779,서울
6,1,전체,2020,4005,인천
7,1,전용면적 60㎡이하,2020,3985,인천
8,1,전용면적 60㎡초과 85㎡이하,2020,4001,인천
9,1,전용면적 85㎡초과 102㎡이하,2020,3981,인천
10,1,전용면적 102㎡초과,2020,4768,인천
11,1,전체,2020,4503,경기
12,1,전용면적 60㎡이하,2020,4939,경기
13,1,전용면적 60㎡초과 85㎡이하,2020,4404,경기
14,1,전용면적 85㎡초과 102㎡이하,2020,5464,경기
15,1,전용면적 102㎡초과,2020,5204,경기
16,1,전체,2020,3884,부산
17,1,전용면적 60㎡이하,2020,3711,부산
18,1,전용면적 60㎡초과 85㎡이하,2020,3907,부산
19,1,전용면적 85㎡초과 102㎡이하,2020,4401,부산
20,1,전용면적 102㎡초과,2020,4322,부산
21,1,전체,2020,4420,대구
22,1,전용면적 60㎡이하,2020,4324,대구
23,1,전용면적 60㎡초과 85㎡이하,2020,4417,대구
24,1,전용면적 85㎡초과 102㎡이하,2020,4067,대구
25,1,전용면적 102㎡초과,2020,5117,대구
26,1,전체,2020,3843,광주
27,1,전용면적 60㎡이하,2020,3926,광주
28,1,전용면적 60㎡초과 85㎡이하,2020,3861,광주
29,1,전용면적 85㎡초과 102㎡이하,2020,,광주
30,1,전용면적 102㎡초과,2020,4310,광주
31,1,전체,2020,3632,대전
32,1,전용면적 60㎡이하,2020,3534,대전
33,1,전용면적 60㎡초과 85㎡이하,2020,3567,대전
34,1,전용면적 85㎡초과 102㎡이하,2020,,대전
35,1,전용면적 102㎡초과,2020,4500,대전
36,1,전체,2020,3143,울산
37,1,전용면적 60㎡이하,2020,3399,울산
38,1,전용면적 60㎡초과 85㎡이하,2020,3114,울산
39,1,전용면적 85㎡초과 102㎡이하,2020,,울산
40,1,전용면적 102㎡초과,2020,,울산
41,1,전체,2020,3458,세종
42,1,전용면적 60㎡이하,2020,,세종
43,1,전용면적 60㎡초과 85㎡이하,2020,3395,세종
44,1,전용면적 85㎡초과 102㎡이하,2020,3510,세종
45,1,전용면적 102㎡초과,2020,3931,세종
46,1,전체,2020,2487,강원
47,1,전용면적 60㎡이하,2020,2560,강원
48,1,전용면적 60㎡초과 85㎡이하,2020,2464,강원
49,1,전용면적 85㎡초과 102㎡이하,2020,3329,강원
50,1,전용면적 102㎡초과,2020,3891,강원
51,1,전체,2020,2305,충북
52,1,전용면적 60㎡이하,2020,2324,충북
53,1,전용면적 60㎡초과 85㎡이하,2020,2297,충북
54,1,전용면적 85㎡초과 102㎡이하,2020,2634,충북
55,1,전용면적 102㎡초과,2020,2532,충북
56,1,전체,2020,2640,충남
57,1,전용면적 60㎡이하,2020,2382,충남
58,1,전용면적 60㎡초과 85㎡이하,2020,2666,충남
59,1,전용면적 85㎡초과 102㎡이하,2020,3201,충남
60,1,전용면적 102㎡초과,2020,2835,충남
61,1,전체,2020,2468,전북
62,1,전용면적 60㎡이하,2020,2526,전북
63,1,전용면적 60㎡초과 85㎡이하,2020,2458,전북
64,1,전용면적 85㎡초과 102㎡이하,2020,2764,전북
65,1,전용면적 102㎡초과,2020,2667,전북
66,1,전체,2020,2485,전남
67,1,전용면적 60㎡이하,2020,2529,전남
68,1,전용면적 60㎡초과 85㎡이하,2020,2486,전남
69,1,전용면적 85㎡초과 102㎡이하,2020,,전남
70,1,전용면적 102㎡초과,2020,3053,전남
71,1,전체,2020,3074,경북
72,1,전용면적 60㎡이하,2020,2578,경북
73,1,전용면적 60㎡초과 85㎡이하,2020,3061,경북
74,1,전용면적 85㎡초과 102㎡이하,2020,,경북
75,1,전용면적 102㎡초과,2020,3457,경북
76,1,전체,2020,3063,경남
77,1,전용면적 60㎡이하,2020,2780,경남
