day,time,code,codeLong,total,man0_9,man10_14,man15_19,man20_24,man25_29,man30_34,man35_39,man40_44,man45_49,man50_54,man55_59,man60_64,man65_69,man70,woman0_9,woman10_14,woman15_19,woman20_24,woman25_29,woman30_34,woman35_39,woman40_44,woman45_49,woman50_54,woman55_59,woman60_64,woman65_69,woman70
20200501,0,11110,11110515,13834.5353,465.5728,296.6643,406.515,634.9857,466.3629,395.6931,541.5175,511.0592,675.6122,515.2732,463.6376,328.2062,227.7243,582.3869,421.5729,252.595,326.4046,416.0616,455.9278,445.115,616.4512,681.7515,680.9461,612.5232,535.7441,422.1606,356.0933,1099.9768
20200501,0,11110,11110530,13679.5913,332.6554,147.8467,238.4124,445.8548,506.2725,542.1904,564.2357,502.5482,708.9352,537.5555,546.0483,423.1389,213.7631,687.0587,406.5121,217.7738,273.3627,373.7841,502.2086,525.3519,667.3606,563.9686,656.2706,509.6083,541.831,442.7943,359.1525,1243.0967
20200501,0,11110,11110540,4413.6901,69.7696,53.4599,122.0494,438.7534,157.0192,174.5925,173.8737,190.5573,178.8899,143.7227,148.8456,126.4576,101.4406,215.9287,76.2137,46.8169,80.5061,134.6209,118.5784,122.9431,202.5869,166.2405,162.2669,155.3379,169.6123,183.8427,162.3503,336.4131
20200501,0,11110,11110550,15176.0864,370.8628,287.5619,434.1235,520.4815,425.0957,364.4927,464.4418,514.6041,711.8256,531.8017,632.6863,483.3653,361.2157,929.6299,335.8954,239.235,440.2219,520.3117,473.0032,419.1194,543.1855,581.9492,753.9414,623.2276,675.8024,625.6068,406.3008,1506.0975
20200501,0,11110,11110560,19513.5629,470.8038,340.5477,633.9875,655.6134,591.9683,373.392,602.2293,591.963,821.2941,719.2146,824.5327,667.2705,509.3301,999.5708,557.5245,325.7442,625.5439,577.2556,485.308,492.1608,750.9263,681.7747,967.9589,899.4985,1012.295,852.1806,607.7125,1875.9623
20200501,0,11110,11110570,8390.4441,302.9637,193.7556,218.8325,381.1578,230.6382,173.8313,227.952,246.4932,375.7059,306.6172,309.8938,278.1676,189.4426,394.8885,312.4714,197.5205,320.7098,210.8216,193.9705,249.2729,271.1851,348.0771,411.6419,236.2623,298.5691,364.1652,228.163,917.2736
20200501,0,11110,11110580,5987.7718,255.9965,101.8361,140.7736,144.838,186.1481,164.1432,238.7447,195.0192,291.759,230.867,189.0447,177.7029,133.9384,277.9704,288.2815,137.9302,179.5767,228.3985,187.2322,221.853,237.6732,231.4336,278.9916,233.5157,204.0453,200.425,183.3823,446.2511
20200501,0,11110,11110600,5117.6462,75.9752,53.6293,103.3463,226.0371,139.3599,137.9508,189.7478,212.4509,276.7766,216.4478,186.1403,131.5581,134.8233,298.9306,173.3335,98.6666,136.5127,159.5032,129.0201,161.7365,219.096,221.9342,274.9235,232.627,214.075,176.1705,133.1151,403.7582
20200501,0,11110,11110615,25379.1327,707.2975,222.8474,368.0175,1474.0856,2389.4122,1636.9837,1468.5011,1195.1481,1378.6596,1130.2358,1100.4309,907.3305,529.7641,961.711,250.348,122.7666,267.9665,1316.1036,1459.3324,927.9502,823.8078,727.7313,715.1087,538.4649,633.558,555.0159,469.9156,1100.6376
20200501,0,11110,11110630,9830.5098,137.9279,104.9896,191.1422,333.0177,527.4046,484.7965,439.3232,400.5425,444.4001,472.1136,573.8465,412.3071,255.4447,578.7869,58.5264,61.1866,178.7219,426.004,464.9025,309.826,270.026,188.7248,289.4993,342.1983,411.045,400.175,269.4334,804.1978
